Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.07046E-8,0.00000107,0.000040219,1,0,0
3.78701E-8,0.000004857,0.00014227,0.999900557,0,0
5.26145E-8,0.000010119,0.00019765,0.999801114,0,0
7.72203E-8,0.000031202,0.000290057,0.999502784,0,0
9.6966E-8,0.000056919,0.000364199,0.999204455,0,0
1.17101E-7,0.000110404,0.000439791,0.998707239,0,0
1.44877E-7,0.000258339,0.000544054,0.997613365,0,0
1.87647E-7,0.000517934,0.000704551,0.996121718,0,0
2.59315E-7,0.001008757,0.000973379,0.99393397,0,0
3.91925E-7,0.002506404,0.001470421,0.989459029,0,0.035714286
5.57269E-7,0.00503938,0.002089459,0.984287987,0,0.035714286
7.64487E-7,0.010074727,0.002864192,0.976630867,0,0.035714286
1.39054E-6,0.025126806,0.005197548,0.962509944,0,0.035714286
2.18003E-6,0.050086642,0.008124495,0.948488465,0,0.071428571
3.21143E-6,0.100240782,0.011922478,0.929992045,0,0.071428571
4.68845E-6,0.200423597,0.01731102,0.904733492,0,0.071428571
5.74733E-6,0.300426404,0.021138069,0.885640414,0,0.071428571
6.71672E-6,0.400670425,0.024615602,0.869630072,0,0.071428571
7.63589E-6,0.500489412,0.027890269,0.855807478,0,0.071428571
8.43602E-6,0.600841462,0.03072296,0.843377088,0,0.071428571
9.12948E-6,0.700123027,0.033164707,0.832140016,0,0.071428571
9.48943E-6,0.750457461,0.034427293,0.826770088,0,0.071428571
9.82941E-6,0.800664813,0.035616782,0.821599045,0,0.071428571
1.05865E-5,0.90088877,0.038255171,0.81185362,0,0.071428571
1.13357E-5,1.00078677,0.040851733,0.802804296,0,0.071428571
1.19663E-5,1.100986282,0.043026575,0.794252188,0.017241379,0.071428571
1.25028E-5,1.200247312,0.044869308,0.786197295,0.017241379,0.071428571
1.31099E-5,1.300329057,0.046945742,0.778440732,0.017241379,0.071428571
1.35932E-5,1.400580149,0.048592221,0.770982498,0.017241379,0.071428571
