variable,x,y
bio_asc_42,1.0,0.5314517617225647
bio_asc_42,2.0,0.3698130249977112
bio_asc_42,3.0,0.30402421951293945
bio_asc_42,4.0,0.30402421951293945
bio_asc_42,5.0,0.30402421951293945
bio_asc_42,6.0,0.30402421951293945
bio_asc_42,9.0,0.6340854167938232
bio_asc_42,10.0,0.30402421951293945
bio_asc_42,11.0,0.4847102165222168
bio_asc_42,12.0,0.35759690403938293
bio_asc_42,13.0,0.30402421951293945
bio_asc_42,14.0,0.30402421951293945
bio_asc_42,15.0,0.30402421951293945
bio_asc_42,16.0,0.4625943899154663
bio_asc_42,17.0,0.30402421951293945
